# Dungeons & Dolphins structured item catalog.
# Format: Name|Category|Rarity|Source
# Expansion records contain names and catalog metadata only; add one custom record per line.
Club|Weapon|Mundane|SRD5.2.1
Dagger|Weapon|Mundane|SRD5.2.1
Greatclub|Weapon|Mundane|SRD5.2.1
Handaxe|Weapon|Mundane|SRD5.2.1
Javelin|Weapon|Mundane|SRD5.2.1
Light Hammer|Weapon|Mundane|SRD5.2.1
Mace|Weapon|Mundane|SRD5.2.1
Quarterstaff|Weapon|Mundane|SRD5.2.1
Sickle|Weapon|Mundane|SRD5.2.1
Spear|Weapon|Mundane|SRD5.2.1
Dart|Weapon|Mundane|SRD5.2.1
Light Crossbow|Weapon|Mundane|SRD5.2.1
Shortbow|Weapon|Mundane|SRD5.2.1
Sling|Weapon|Mundane|SRD5.2.1
Battleaxe|Weapon|Mundane|SRD5.2.1
Flail|Weapon|Mundane|SRD5.2.1
Glaive|Weapon|Mundane|SRD5.2.1
Greataxe|Weapon|Mundane|SRD5.2.1
Greatsword|Weapon|Mundane|SRD5.2.1
Halberd|Weapon|Mundane|SRD5.2.1
Lance|Weapon|Mundane|SRD5.2.1
Longsword|Weapon|Mundane|SRD5.2.1
Maul|Weapon|Mundane|SRD5.2.1
Morningstar|Weapon|Mundane|SRD5.2.1
Pike|Weapon|Mundane|SRD5.2.1
Rapier|Weapon|Mundane|SRD5.2.1
Scimitar|Weapon|Mundane|SRD5.2.1
Shortsword|Weapon|Mundane|SRD5.2.1
Trident|Weapon|Mundane|SRD5.2.1
Warhammer|Weapon|Mundane|SRD5.2.1
War Pick|Weapon|Mundane|SRD5.2.1
Whip|Weapon|Mundane|SRD5.2.1
Blowgun|Weapon|Mundane|SRD5.2.1
Hand Crossbow|Weapon|Mundane|SRD5.2.1
Heavy Crossbow|Weapon|Mundane|SRD5.2.1
Longbow|Weapon|Mundane|SRD5.2.1
Musket|Weapon|Mundane|SRD5.2.1
Pistol|Weapon|Mundane|SRD5.2.1
Padded Armor|Armor|Mundane|SRD5.2.1
Leather Armor|Armor|Mundane|SRD5.2.1
Studded Leather Armor|Armor|Mundane|SRD5.2.1
Hide Armor|Armor|Mundane|SRD5.2.1
Chain Shirt|Armor|Mundane|SRD5.2.1
Scale Mail|Armor|Mundane|SRD5.2.1
Breastplate|Armor|Mundane|SRD5.2.1
Half Plate Armor|Armor|Mundane|SRD5.2.1
Ring Mail|Armor|Mundane|SRD5.2.1
Chain Mail|Armor|Mundane|SRD5.2.1
Splint Armor|Armor|Mundane|SRD5.2.1
Plate Armor|Armor|Mundane|SRD5.2.1
Shield|Armor|Mundane|SRD5.2.1
Acid|Gear|Mundane|SRD5.2.1
Alchemist's Fire|Gear|Mundane|SRD5.2.1
Ammunition|Gear|Mundane|SRD5.2.1
Antitoxin|Gear|Mundane|SRD5.2.1
Arcane Focus|Gear|Mundane|SRD5.2.1
Backpack|Gear|Mundane|SRD5.2.1
Ball Bearings|Gear|Mundane|SRD5.2.1
Barrel|Gear|Mundane|SRD5.2.1
Basket|Gear|Mundane|SRD5.2.1
Bedroll|Gear|Mundane|SRD5.2.1
Bell|Gear|Mundane|SRD5.2.1
Blanket|Gear|Mundane|SRD5.2.1
Block and Tackle|Gear|Mundane|SRD5.2.1
Book|Gear|Mundane|SRD5.2.1
Bottle, Glass|Gear|Mundane|SRD5.2.1
Bucket|Gear|Mundane|SRD5.2.1
Burglar's Pack|Gear|Mundane|SRD5.2.1
Caltrops|Gear|Mundane|SRD5.2.1
Candle|Gear|Mundane|SRD5.2.1
Case, Crossbow Bolt|Gear|Mundane|SRD5.2.1
Case, Map or Scroll|Gear|Mundane|SRD5.2.1
Chain|Gear|Mundane|SRD5.2.1
Chest|Gear|Mundane|SRD5.2.1
Climber's Kit|Gear|Mundane|SRD5.2.1
Clothes, Fine|Gear|Mundane|SRD5.2.1
Clothes, Traveler's|Gear|Mundane|SRD5.2.1
Component Pouch|Gear|Mundane|SRD5.2.1
Costume|Gear|Mundane|SRD5.2.1
Crowbar|Gear|Mundane|SRD5.2.1
Diplomat's Pack|Gear|Mundane|SRD5.2.1
Druidic Focus|Gear|Mundane|SRD5.2.1
Dungeoneer's Pack|Gear|Mundane|SRD5.2.1
Entertainer's Pack|Gear|Mundane|SRD5.2.1
Explorer's Pack|Gear|Mundane|SRD5.2.1
Flask|Gear|Mundane|SRD5.2.1
Grappling Hook|Gear|Mundane|SRD5.2.1
Healer's Kit|Gear|Mundane|SRD5.2.1
Holy Symbol|Gear|Mundane|SRD5.2.1
Holy Water|Gear|Mundane|SRD5.2.1
Hunting Trap|Gear|Mundane|SRD5.2.1
Ink|Gear|Mundane|SRD5.2.1
Ink Pen|Gear|Mundane|SRD5.2.1
Jug|Gear|Mundane|SRD5.2.1
Ladder|Gear|Mundane|SRD5.2.1
Lamp|Gear|Mundane|SRD5.2.1
Lantern, Bullseye|Gear|Mundane|SRD5.2.1
Lantern, Hooded|Gear|Mundane|SRD5.2.1
Lock|Gear|Mundane|SRD5.2.1
Magnifying Glass|Gear|Mundane|SRD5.2.1
Manacles|Gear|Mundane|SRD5.2.1
Map|Gear|Mundane|SRD5.2.1
Mirror|Gear|Mundane|SRD5.2.1
Net|Gear|Mundane|SRD5.2.1
Oil|Gear|Mundane|SRD5.2.1
Paper|Gear|Mundane|SRD5.2.1
Parchment|Gear|Mundane|SRD5.2.1
Perfume|Gear|Mundane|SRD5.2.1
Poison, Basic|Gear|Mundane|SRD5.2.1
Pole|Gear|Mundane|SRD5.2.1
Pot, Iron|Gear|Mundane|SRD5.2.1
Potion of Healing|Gear|Mundane|SRD5.2.1
Pouch|Gear|Mundane|SRD5.2.1
Priest's Pack|Gear|Mundane|SRD5.2.1
