# stable_id|source|option_type|option_name|prerequisites|level_gained|class_associations|grant_value
class-artificer|Eberron|class|Artificer|None|0|Artificer|
class-barbarian|Core|class|Barbarian|None|0|Barbarian|
class-bard|Core|class|Bard|None|0|Bard|
class-cleric|Core|class|Cleric|None|0|Cleric|
class-druid|Core|class|Druid|None|0|Druid|
class-fighter|Core|class|Fighter|None|0|Fighter|
class-monk|Core|class|Monk|None|0|Monk|
class-paladin|Core|class|Paladin|None|0|Paladin|
class-ranger|Core|class|Ranger|None|0|Ranger|
class-rogue|Core|class|Rogue|None|0|Rogue|
class-sorcerer|Core|class|Sorcerer|None|0|Sorcerer|
class-warlock|Core|class|Warlock|None|0|Warlock|
class-wizard|Core|class|Wizard|None|0|Wizard|
class-path-of-the-berserker|Core|class|Path of the Berserker|None|0|Path of the Berserker|
class-college-of-lore|Core|class|College of Lore|None|0|College of Lore|
class-life-domain|Core|class|Life Domain|None|0|Life Domain|
class-circle-of-the-land|Core|class|Circle of the Land|None|0|Circle of the Land|
class-champion|Core|class|Champion|None|0|Champion|
class-warrior-of-the-open-hand|Core|class|Warrior of the Open Hand|None|0|Warrior of the Open Hand|
class-oath-of-devotion|Core|class|Oath of Devotion|None|0|Oath of Devotion|
class-hunter|Core|class|Hunter|None|0|Hunter|
class-thief|Core|class|Thief|None|0|Thief|
class-draconic-sorcery|Core|class|Draconic Sorcery|None|0|Draconic Sorcery|
class-fiend-patron|Core|class|Fiend Patron|None|0|Fiend Patron|
class-evoker|Core|class|Evoker|None|0|Evoker|
class-path-of-the-wild-heart|Core|class|Path of the Wild Heart|None|0|Path of the Wild Heart|
class-path-of-the-world-tree|Core|class|Path of the World Tree|None|0|Path of the World Tree|
class-college-of-dance|Core|class|College of Dance|None|0|College of Dance|
class-college-of-valor|Core|class|College of Valor|None|0|College of Valor|
class-light-domain|Core|class|Light Domain|None|0|Light Domain|
class-trickery-domain|Core|class|Trickery Domain|None|0|Trickery Domain|
class-war-domain|Core|class|War Domain|None|0|War Domain|
class-circle-of-the-moon|Core|class|Circle of the Moon|None|0|Circle of the Moon|
class-circle-of-the-sea|Core|class|Circle of the Sea|None|0|Circle of the Sea|
class-circle-of-the-stars|Core|class|Circle of the Stars|None|0|Circle of the Stars|
class-battle-master|Core|class|Battle Master|None|0|Battle Master|
class-eldritch-knight|Core|class|Eldritch Knight|None|0|Eldritch Knight|
class-psi-warrior|Core|class|Psi Warrior|None|0|Psi Warrior|
class-warrior-of-mercy|Core|class|Warrior of Mercy|None|0|Warrior of Mercy|
class-warrior-of-shadow|Core|class|Warrior of Shadow|None|0|Warrior of Shadow|
class-warrior-of-the-elements|Core|class|Warrior of the Elements|None|0|Warrior of the Elements|
class-oath-of-glory|Core|class|Oath of Glory|None|0|Oath of Glory|
class-oath-of-the-ancients|Core|class|Oath of the Ancients|None|0|Oath of the Ancients|
class-oath-of-vengeance|Core|class|Oath of Vengeance|None|0|Oath of Vengeance|
class-beast-master|Core|class|Beast Master|None|0|Beast Master|
class-fey-wanderer|Core|class|Fey Wanderer|None|0|Fey Wanderer|
class-arcane-trickster|Core|class|Arcane Trickster|None|0|Arcane Trickster|
class-assassin|Core|class|Assassin|None|0|Assassin|
class-soulknife|Core|class|Soulknife|None|0|Soulknife|
class-aberrant-sorcery|Core|class|Aberrant Sorcery|None|0|Aberrant Sorcery|
class-clockwork-sorcery|Core|class|Clockwork Sorcery|None|0|Clockwork Sorcery|
class-wild-magic-sorcery|Core|class|Wild Magic Sorcery|None|0|Wild Magic Sorcery|
class-archfey-patron|Core|class|Archfey Patron|None|0|Archfey Patron|
class-celestial-patron|Core|class|Celestial Patron|None|0|Celestial Patron|
class-great-old-one-patron|Core|class|Great Old One Patron|None|0|Great Old One Patron|
class-abjurer|Core|class|Abjurer|None|0|Abjurer|
class-diviner|Core|class|Diviner|None|0|Diviner|
class-illusionist|Core|class|Illusionist|None|0|Illusionist|
class-college-of-the-moon|Core|class|College of the Moon|None|0|College of the Moon|
class-knowledge-domain|Core|class|Knowledge Domain|None|0|Knowledge Domain|
class-banneret|Core|class|Banneret|None|0|Banneret|
class-oath-of-the-noble-genies|Core|class|Oath of the Noble Genies|None|0|Oath of the Noble Genies|
class-winter-walker|Core|class|Winter Walker|None|0|Winter Walker|
class-scion-of-the-three|Core|class|Scion of the Three|None|0|Scion of the Three|
class-spellfire-sorcery|Core|class|Spellfire Sorcery|None|0|Spellfire Sorcery|
class-bladesinger|Core|class|Bladesinger|None|0|Bladesinger|
class-college-of-spirits|Core|class|College of Spirits|None|0|College of Spirits|
class-the-undead|Core|class|The Undead|None|0|The Undead|
class-alchemist|Core|class|Alchemist|None|0|Alchemist|
class-armorer|Core|class|Armorer|None|0|Armorer|
class-artillerist|Core|class|Artillerist|None|0|Artillerist|
class-battle-smith|Core|class|Battle Smith|None|0|Battle Smith|
class-cartographer|Core|class|Cartographer|None|0|Cartographer|
class-path-of-the-ancestral-guardian|Core|class|Path of the Ancestral Guardian|None|0|Path of the Ancestral Guardian|
class-path-of-the-storm-herald|Core|class|Path of the Storm Herald|None|0|Path of the Storm Herald|
class-path-of-the-zealot|Core|class|Path of the Zealot|None|0|Path of the Zealot|
class-college-of-glamour|Core|class|College of Glamour|None|0|College of Glamour|
class-college-of-swords|Core|class|College of Swords|None|0|College of Swords|
class-college-of-whispers|Core|class|College of Whispers|None|0|College of Whispers|
class-forge-domain|Core|class|Forge Domain|None|0|Forge Domain|
class-grave-domain|Core|class|Grave Domain|None|0|Grave Domain|
class-circle-of-dreams|Core|class|Circle of Dreams|None|0|Circle of Dreams|
class-circle-of-the-shepherd|Core|class|Circle of the Shepherd|None|0|Circle of the Shepherd|
class-arcane-archer|Core|class|Arcane Archer|None|0|Arcane Archer|
class-cavalier|Core|class|Cavalier|None|0|Cavalier|
class-samurai|Core|class|Samurai|None|0|Samurai|
class-way-of-the-drunken-master|Core|class|Way of the Drunken Master|None|0|Way of the Drunken Master|
class-way-of-the-kensei|Core|class|Way of the Kensei|None|0|Way of the Kensei|
class-way-of-the-sun-soul|Core|class|Way of the Sun Soul|None|0|Way of the Sun Soul|
class-oath-of-conquest|Core|class|Oath of Conquest|None|0|Oath of Conquest|
class-oath-of-redemption|Core|class|Oath of Redemption|None|0|Oath of Redemption|
class-gloom-stalker|Core|class|Gloom Stalker|None|0|Gloom Stalker|
class-horizon-walker|Core|class|Horizon Walker|None|0|Horizon Walker|
class-monster-slayer|Core|class|Monster Slayer|None|0|Monster Slayer|
class-inquisitive|Core|class|Inquisitive|None|0|Inquisitive|
class-mastermind|Core|class|Mastermind|None|0|Mastermind|
class-scout|Core|class|Scout|None|0|Scout|
class-swashbuckler|Core|class|Swashbuckler|None|0|Swashbuckler|
class-divine-soul|Core|class|Divine Soul|None|0|Divine Soul|
class-shadow-magic|Core|class|Shadow Magic|None|0|Shadow Magic|
class-storm-sorcery|Core|class|Storm Sorcery|None|0|Storm Sorcery|
class-the-celestial|Core|class|The Celestial|None|0|The Celestial|
class-the-hexblade|Core|class|The Hexblade|None|0|The Hexblade|
class-war-magic|Core|class|War Magic|None|0|War Magic|
species-aasimar|Core|species|Aasimar|None|0|Any|
species-dragonborn|Core|species|Dragonborn|None|0|Any|
species-dwarf|Core|species|Dwarf|None|0|Any|
species-elf|Core|species|Elf|None|0|Any|
species-gnome|Core|species|Gnome|None|0|Any|
species-goliath|Core|species|Goliath|None|0|Any|
species-halfling|Core|species|Halfling|None|0|Any|
species-human|Core|species|Human|None|0|Any|
species-orc|Core|species|Orc|None|0|Any|
species-tiefling|Core|species|Tiefling|None|0|Any|
background-acolyte|Core|background|Acolyte|None|0|Any|
background-artisan|Core|background|Artisan|None|0|Any|
background-charlatan|Core|background|Charlatan|None|0|Any|
background-criminal|Core|background|Criminal|None|0|Any|
background-entertainer|Core|background|Entertainer|None|0|Any|
background-farmer|Core|background|Farmer|None|0|Any|
background-guard|Core|background|Guard|None|0|Any|
background-guide|Core|background|Guide|None|0|Any|
background-hermit|Core|background|Hermit|None|0|Any|
background-merchant|Core|background|Merchant|None|0|Any|
background-noble|Core|background|Noble|None|0|Any|
background-sage|Core|background|Sage|None|0|Any|
background-sailor|Core|background|Sailor|None|0|Any|
background-scribe|Core|background|Scribe|None|0|Any|
background-soldier|Core|background|Soldier|None|0|Any|
background-wayfarer|Core|background|Wayfarer|None|0|Any|
background-haunted-one|Ravenloft|background|Haunted One|None|0|Any|
background-investigator|Ravenloft|background|Investigator|None|0|Any|
background-chondathan-freebooter|Forgotten Realms|background|Chondathan Freebooter|None|0|Any|
background-dead-magic-dweller|Forgotten Realms|background|Dead Magic Dweller|None|0|Any|
background-dragon-cultist|Forgotten Realms|background|Dragon Cultist|None|0|Any|
background-emerald-enclave-caretaker|Forgotten Realms|background|Emerald Enclave Caretaker|None|0|Any|
background-flaming-fist-mercenary|Forgotten Realms|background|Flaming Fist Mercenary|None|0|Any|
background-genie-touched|Forgotten Realms|background|Genie Touched|None|0|Any|
background-harper|Forgotten Realms|background|Harper|None|0|Any|
background-ice-fisher|Forgotten Realms|background|Ice Fisher|None|0|Any|
background-knight-of-the-gauntlet|Forgotten Realms|background|Knight of the Gauntlet|None|0|Any|
background-lords-alliance-vassal|Forgotten Realms|background|Lords' Alliance Vassal|None|0|Any|
background-moonwell-pilgrim|Forgotten Realms|background|Moonwell Pilgrim|None|0|Any|
background-mulhorandi-tomb-raider|Forgotten Realms|background|Mulhorandi Tomb Raider|None|0|Any|
background-mythalkeeper|Forgotten Realms|background|Mythalkeeper|None|0|Any|
background-purple-dragon-squire|Forgotten Realms|background|Purple Dragon Squire|None|0|Any|
background-rashemi-wanderer|Forgotten Realms|background|Rashemi Wanderer|None|0|Any|
background-shadowmasters-exile|Forgotten Realms|background|Shadowmasters Exile|None|0|Any|
background-spellfire-initiate|Forgotten Realms|background|Spellfire Initiate|None|0|Any|
background-zhentarim-mercenary|Forgotten Realms|background|Zhentarim Mercenary|None|0|Any|
feat-alert|Core|feat|Alert|Catalog prerequisites|0|Any|
feat-magic-initiate|Core|feat|Magic Initiate|Catalog prerequisites|0|Any|
feat-savage-attacker|Core|feat|Savage Attacker|Catalog prerequisites|0|Any|
feat-skilled|Core|feat|Skilled|Catalog prerequisites|0|Any|
feat-ability-score-improvement|Core|feat|Ability Score Improvement|Catalog prerequisites|0|Any|
feat-grappler|Core|feat|Grappler|Catalog prerequisites|0|Any|
feat-archery|Core|feat|Archery|Catalog prerequisites|0|Any|
feat-defense|Core|feat|Defense|Catalog prerequisites|0|Any|
feat-great-weapon-fighting|Core|feat|Great Weapon Fighting|Catalog prerequisites|0|Any|
feat-two-weapon-fighting|Core|feat|Two-Weapon Fighting|Catalog prerequisites|0|Any|
feat-boon-of-combat-prowess|Core|feat|Boon of Combat Prowess|Catalog prerequisites|0|Any|
feat-boon-of-dimensional-travel|Core|feat|Boon of Dimensional Travel|Catalog prerequisites|0|Any|
feat-boon-of-fate|Core|feat|Boon of Fate|Catalog prerequisites|0|Any|
feat-boon-of-irresistible-offense|Core|feat|Boon of Irresistible Offense|Catalog prerequisites|0|Any|
feat-boon-of-the-night-spirit|Core|feat|Boon of the Night Spirit|Catalog prerequisites|0|Any|
feat-boon-of-spell-recall|Core|feat|Boon of Spell Recall|Catalog prerequisites|0|Any|
feat-boon-of-truesight|Core|feat|Boon of Truesight|Catalog prerequisites|0|Any|
ability-action-surge|Core|ability|Action Surge|Catalog prerequisites|0|Any|
ability-bardic-inspiration|Core|ability|Bardic Inspiration|Catalog prerequisites|0|Any|
ability-channel-divinity|Core|ability|Channel Divinity|Catalog prerequisites|0|Any|
ability-danger-sense|Core|ability|Danger Sense|Catalog prerequisites|0|Any|
ability-divine-order|Core|ability|Divine Order|Catalog prerequisites|0|Any|
ability-eldritch-invocations|Core|ability|Eldritch Invocations|Catalog prerequisites|0|Any|
ability-expertise|Core|ability|Expertise|Catalog prerequisites|0|Any|
ability-extra-attack|Core|ability|Extra Attack|Catalog prerequisites|0|Any|
ability-fighting-style|Core|ability|Fighting Style|Catalog prerequisites|0|Any|
ability-font-of-inspiration|Core|ability|Font of Inspiration|Catalog prerequisites|0|Any|
ability-font-of-magic|Core|ability|Font of Magic|Catalog prerequisites|0|Any|
ability-indomitable|Core|ability|Indomitable|Catalog prerequisites|0|Any|
ability-jack-of-all-trades|Core|ability|Jack of All Trades|Catalog prerequisites|0|Any|
ability-lay-on-hands|Core|ability|Lay on Hands|Catalog prerequisites|0|Any|
ability-magical-secrets|Core|ability|Magical Secrets|Catalog prerequisites|0|Any|
ability-martial-arts|Core|ability|Martial Arts|Catalog prerequisites|0|Any|
ability-metamagic|Core|ability|Metamagic|Catalog prerequisites|0|Any|
ability-pact-magic|Core|ability|Pact Magic|Catalog prerequisites|0|Any|
ability-rage|Core|ability|Rage|Catalog prerequisites|0|Any|
ability-reckless-attack|Core|ability|Reckless Attack|Catalog prerequisites|0|Any|
ability-second-wind|Core|ability|Second Wind|Catalog prerequisites|0|Any|
ability-sneak-attack|Core|ability|Sneak Attack|Catalog prerequisites|0|Any|
ability-sorcery-points|Core|ability|Sorcery Points|Catalog prerequisites|0|Any|
ability-spellcasting|Core|ability|Spellcasting|Catalog prerequisites|0|Any|
ability-unarmored-defense|Core|ability|Unarmored Defense|Catalog prerequisites|0|Any|
ability-weapon-mastery|Core|ability|Weapon Mastery|Catalog prerequisites|0|Any|
ability-wild-shape|Core|ability|Wild Shape|Catalog prerequisites|0|Any|
ability-primal-knowledge|Core|ability|Primal Knowledge|Catalog prerequisites|0|Any|
ability-fast-movement|Core|ability|Fast Movement|Catalog prerequisites|0|Any|
ability-feral-instinct|Core|ability|Feral Instinct|Catalog prerequisites|0|Any|
ability-instinctive-pounce|Core|ability|Instinctive Pounce|Catalog prerequisites|0|Any|
ability-brutal-strike|Core|ability|Brutal Strike|Catalog prerequisites|0|Any|
ability-improved-brutal-strike|Core|ability|Improved Brutal Strike|Catalog prerequisites|0|Any|
ability-relentless-rage|Core|ability|Relentless Rage|Catalog prerequisites|0|Any|
ability-persistent-rage|Core|ability|Persistent Rage|Catalog prerequisites|0|Any|
ability-indomitable-might|Core|ability|Indomitable Might|Catalog prerequisites|0|Any|
ability-primal-champion|Core|ability|Primal Champion|Catalog prerequisites|0|Any|
ability-words-of-creation|Core|ability|Words of Creation|Catalog prerequisites|0|Any|
ability-countercharm|Core|ability|Countercharm|Catalog prerequisites|0|Any|
ability-superior-inspiration|Core|ability|Superior Inspiration|Catalog prerequisites|0|Any|
ability-blessed-strikes|Core|ability|Blessed Strikes|Catalog prerequisites|0|Any|
ability-divine-intervention|Core|ability|Divine Intervention|Catalog prerequisites|0|Any|
ability-sear-undead|Core|ability|Sear Undead|Catalog prerequisites|0|Any|
ability-improved-blessed-strikes|Core|ability|Improved Blessed Strikes|Catalog prerequisites|0|Any|
ability-greater-divine-intervention|Core|ability|Greater Divine Intervention|Catalog prerequisites|0|Any|
ability-druidic|Core|ability|Druidic|Catalog prerequisites|0|Any|
ability-primal-order|Core|ability|Primal Order|Catalog prerequisites|0|Any|
ability-wild-companion|Core|ability|Wild Companion|Catalog prerequisites|0|Any|
ability-wild-resurgence|Core|ability|Wild Resurgence|Catalog prerequisites|0|Any|
ability-elemental-fury|Core|ability|Elemental Fury|Catalog prerequisites|0|Any|
ability-improved-elemental-fury|Core|ability|Improved Elemental Fury|Catalog prerequisites|0|Any|
ability-beast-spells|Core|ability|Beast Spells|Catalog prerequisites|0|Any|
ability-archdruid|Core|ability|Archdruid|Catalog prerequisites|0|Any|
ability-tactical-mind|Core|ability|Tactical Mind|Catalog prerequisites|0|Any|
ability-tactical-shift|Core|ability|Tactical Shift|Catalog prerequisites|0|Any|
ability-tactical-master|Core|ability|Tactical Master|Catalog prerequisites|0|Any|
ability-studied-attacks|Core|ability|Studied Attacks|Catalog prerequisites|0|Any|
ability-monk-s-focus|Core|ability|Monk's Focus|Catalog prerequisites|0|Any|
