# MonsterPack=1
# id|name|CR eighths|XP|AC|HP|type|environment|source|role
aboleth|Aboleth|80|5900|17|150|Aberration|Aquatic|D&Dolphins|Skirmisher
air_elemental|Air Elemental|40|1800|15|90|Elemental|Planar|D&Dolphins|Skirmisher
animated_armor|Animated Armor|8|200|18|33|Construct|Dungeon|D&Dolphins|Skirmisher
flying_sword|Animated Flying Sword|2|50|17|14|Construct|Dungeon|D&Dolphins|Skirmisher
rug_smothering|Animated Rug of Smothering|16|450|12|27|Construct|Dungeon|D&Dolphins|Skirmisher
ankheg|Ankheg|16|450|14|45|Monstrosity|Wilderness|D&Dolphins|Skirmisher
assassin|Assassin|64|3900|16|97|Humanoid|Urban|D&Dolphins|Skirmisher
awakened_shrub|Awakened Shrub|0|10|9|10|Plant|Wilderness|D&Dolphins|Skirmisher
awakened_tree|Awakened Tree|16|450|13|59|Plant|Wilderness|D&Dolphins|Skirmisher
axe_beak|Axe Beak|2|50|11|19|Monstrosity|Wilderness|D&Dolphins|Skirmisher
reef_crab|Reef Crab|1|25|13|7|Beast|Aquatic|D&Dolphins|Skirmisher
ember_mote|Ember Mote|2|50|14|9|Elemental|Planar|D&Dolphins|Skirmisher
dockside_thug|Dockside Thug|4|100|12|16|Humanoid|Urban|D&Dolphins|Skirmisher
cave_crawler|Cave Crawler|8|200|14|22|Monstrosity|Dungeon|D&Dolphins|Skirmisher
mire_stalker|Mire Stalker|16|450|13|38|Plant|Wilderness|D&Dolphins|Skirmisher
coral_guardian|Coral Guardian|24|700|16|52|Construct|Aquatic|D&Dolphins|Skirmisher
rift_hound|Rift Hound|32|1100|15|68|Monstrosity|Planar|D&Dolphins|Skirmisher
dungeon_sentinel|Dungeon Sentinel|40|1800|18|85|Construct|Dungeon|D&Dolphins|Skirmisher
storm_corsair|Storm Corsair|48|2300|16|96|Humanoid|Aquatic|D&Dolphins|Skirmisher
tide_leviathan|Tide Leviathan|64|3900|17|126|Monstrosity|Aquatic|D&Dolphins|Skirmisher
azer_sentinel|Azer Sentinel|16|450|17|39|Elemental|Planar|Open Reference|Controller
balor|Balor|152|22000|19|287|Fiend|Planar|Open Reference|Controller
bandit|Bandit|1|25|12|11|Humanoid|Urban|Open Reference|Minion
bandit_captain|Bandit Captain|16|450|15|52|Humanoid|Urban|Open Reference|Leader
barbed_devil|Barbed Devil|40|1800|15|110|Fiend|Planar|Open Reference|Artillery
basilisk|Basilisk|24|700|15|52|Monstrosity|Wilderness|Open Reference|Controller
bearded_devil|Bearded Devil|24|700|13|58|Fiend|Planar|Open Reference|Controller
behir|Behir|88|7200|17|168|Monstrosity|Wilderness|Open Reference|Controller
berserker|Berserker|16|450|13|67|Humanoid|Urban|Open Reference|Controller
black_dragon_wyrmling|Black Dragon Wyrmling|16|450|17|33|Dragon|Wilderness|Open Reference|Controller
young_black_dragon|Young Black Dragon|56|2900|18|127|Dragon|Wilderness|Open Reference|Controller
adult_black_dragon|Adult Black Dragon|112|11500|19|195|Dragon|Wilderness|Open Reference|Leader
ancient_black_dragon|Ancient Black Dragon|168|33000|22|367|Dragon|Wilderness|Open Reference|Leader
black_pudding|Black Pudding|32|1100|7|68|Ooze|Dungeon|Open Reference|Skirmisher
blink_dog|Blink Dog|2|50|13|22|Fey|Wilderness|Open Reference|Skirmisher
blue_dragon_wyrmling|Blue Dragon Wyrmling|24|700|17|65|Dragon|Wilderness|Open Reference|Controller
young_blue_dragon|Young Blue Dragon|72|5000|18|152|Dragon|Wilderness|Open Reference|Controller
adult_blue_dragon|Adult Blue Dragon|128|15000|19|212|Dragon|Wilderness|Open Reference|Leader
ancient_blue_dragon|Ancient Blue Dragon|184|50000|22|481|Dragon|Wilderness|Open Reference|Leader
bone_devil|Bone Devil|72|5000|16|161|Fiend|Planar|Open Reference|Controller
brass_dragon_wyrmling|Brass Dragon Wyrmling|8|200|15|22|Dragon|Wilderness|Open Reference|Controller
young_brass_dragon|Young Brass Dragon|48|2300|17|110|Dragon|Wilderness|Open Reference|Controller
adult_brass_dragon|Adult Brass Dragon|104|10000|18|172|Dragon|Wilderness|Open Reference|Leader
ancient_brass_dragon|Ancient Brass Dragon|160|25000|20|332|Dragon|Wilderness|Open Reference|Leader
bronze_dragon_wyrmling|Bronze Dragon Wyrmling|16|450|15|39|Dragon|Wilderness|Open Reference|Controller
young_bronze_dragon|Young Bronze Dragon|64|3900|17|142|Dragon|Wilderness|Open Reference|Controller
adult_bronze_dragon|Adult Bronze Dragon|120|13000|18|212|Dragon|Wilderness|Open Reference|Leader
ancient_bronze_dragon|Ancient Bronze Dragon|176|41000|22|444|Dragon|Wilderness|Open Reference|Leader
bugbear_stalker|Bugbear Stalker|24|700|15|65|Fey|Wilderness|Open Reference|Artillery
bugbear_warrior|Bugbear Warrior|8|200|14|33|Fey|Wilderness|Open Reference|Artillery
bulette|Bulette|40|1800|17|94|Monstrosity|Wilderness|Open Reference|Controller
centaur_trooper|Centaur Trooper|16|450|16|45|Fey|Wilderness|Open Reference|Artillery
chain_devil|Chain Devil|64|3900|15|85|Fiend|Planar|Open Reference|Controller
chimera|Chimera|48|2300|14|114|Monstrosity|Wilderness|Open Reference|Controller
chuul|Chuul|32|1100|16|76|Aberration|Wilderness|Open Reference|Controller
clay_golem|Clay Golem|72|5000|14|123|Construct|Dungeon|Open Reference|Controller
cloaker|Cloaker|64|3900|14|91|Aberration|Wilderness|Open Reference|Controller
